,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_GHI,Daily_radiation
2019-03-18,3,2019-03-18,17.52307692307692,17.338461538461537,61.0,918.9846153846154,167.30769230769232,1.3461538461538463,1.8461538461538463,159.53846153846155,159.15384615384616
2019-03-19,3,2019-03-19,13.430769230769233,23.98461538461538,90.53846153846153,915.0307692307694,94.84615384615384,2.4000000000000004,0.0,37.46153846153846,37.46153846153846
2019-03-20,3,2019-03-20,13.969230769230766,15.023076923076925,80.0,915.8384615384614,100.15384615384616,1.2615384615384615,311.84615384615387,397.53846153846155,200.46153846153845
2019-03-21,3,2019-03-21,15.876923076923077,11.16923076923077,56.92307692307692,919.5076923076922,195.3846153846154,1.3692307692307693,584.0,482.6923076923077,111.38461538461539
2019-03-22,3,2019-03-22,17.646153846153844,10.992307692307692,56.0,920.4000000000002,223.30769230769232,1.8615384615384611,558.1538461538462,477.9230769230769,122.0
2019-03-23,3,2019-03-23,16.715384615384615,17.015384615384615,59.76923076923077,919.2846153846153,193.15384615384616,1.4538461538461538,1.0,80.76923076923077,80.6923076923077
2019-03-24,3,2019-03-24,17.723076923076924,14.115384615384615,58.76923076923077,918.4692307692308,165.69230769230768,1.4923076923076921,163.76923076923077,294.0769230769231,207.3846153846154
2019-03-25,3,2019-03-25,19.453846153846154,10.069230769230769,53.23076923076923,918.0923076923077,216.30769230769232,2.06923076923077,588.6923076923077,495.61538461538464,106.0
2019-03-26,3,2019-03-26,20.45384615384615,11.576923076923075,53.30769230769231,918.9461538461538,214.69230769230768,1.8615384615384618,522.9230769230769,480.2307692307692,136.30769230769232
2019-03-27,3,2019-03-27,21.215384615384615,24.03846153846154,52.23076923076923,919.6153846153845,209.53846153846155,1.5076923076923074,197.69230769230768,353.38461538461536,201.23076923076923
2019-03-28,3,2019-03-28,21.638461538461538,23.37692307692308,59.30769230769231,919.1846153846155,247.6153846153846,2.1923076923076925,360.38461538461536,412.0,157.76923076923077
2019-03-29,3,2019-03-29,21.49230769230769,23.90769230769231,62.15384615384615,916.4307692307692,176.76923076923077,1.4153846153846152,72.15384615384616,256.84615384615387,197.46153846153845
2019-03-30,3,2019-03-30,17.523076923076925,18.07692307692308,76.38461538461539,916.0461538461537,160.15384615384616,1.6615384615384614,375.0,432.0769230769231,180.69230769230768
2019-03-31,3,2019-03-31,20.323076923076922,10.376923076923077,55.61538461538461,916.6923076923077,219.6153846153846,2.4384615384615382,620.9230769230769,517.6153846153846,106.23076923076923
2019-04-01,4,2019-04-01,21.861538461538462,6.453846153846154,45.30769230769231,915.7615384615384,219.76923076923077,2.5,674.1538461538462,535.4615384615385,94.0
2019-04-02,4,2019-04-02,22.66923076923077,11.623076923076923,45.53846153846154,916.2615384615385,181.15384615384616,1.323076923076923,572.1538461538462,513.3076923076923,120.46153846153847
2019-04-03,4,2019-04-03,24.330769230769228,17.53846153846154,47.84615384615385,914.6076923076921,225.23076923076923,1.8923076923076925,403.0769230769231,464.0769230769231,153.84615384615384
2019-04-04,4,2019-04-04,24.135714285714283,23.949999999999996,52.214285714285715,916.5785714285715,180.78571428571428,1.4714285714285715,262.2142857142857,370.7142857142857,196.78571428571428
2019-04-05,4,2019-04-05,24.45,23.278571428571436,56.785714285714285,915.5500000000001,199.28571428571428,1.4499999999999995,306.2857142857143,381.92857142857144,141.35714285714286
2019-04-06,4,2019-04-06,22.5,24.064285714285713,64.64285714285714,915.6357142857144,97.78571428571429,1.1357142857142857,412.57142857142856,443.7857142857143,160.07142857142858
2019-04-07,4,2019-04-07,24.157142857142862,21.14285714285714,55.785714285714285,912.9499999999999,163.78571428571428,1.5785714285714285,363.85714285714283,430.64285714285717,149.92857142857142
2019-04-08,4,2019-04-08,22.721428571428568,22.235714285714288,57.92857142857143,914.5357142857143,152.07142857142858,0.8428571428571429,439.2142857142857,455.14285714285717,141.07142857142858
2019-04-09,4,2019-04-09,24.071428571428573,25.857142857142858,53.357142857142854,913.9214285714286,176.14285714285714,1.8142857142857138,364.92857142857144,432.0,153.14285714285714
2019-04-10,4,2019-04-10,21.678571428571434,18.607142857142858,64.14285714285714,916.5785714285714,129.42857142857142,1.5500000000000003,401.7857142857143,453.57142857142856,150.57142857142858
2019-04-11,4,2019-04-11,21.692307692307693,26.630769230769236,57.92307692307692,916.6076923076923,229.84615384615384,1.2384615384615385,43.76923076923077,222.46153846153845,187.69230769230768
2019-04-12,4,2019-04-12,21.153846153846153,27.815384615384612,69.38461538461539,916.9846153846156,53.07692307692308,1.5846153846153848,188.15384615384616,401.38461538461536,256.61538461538464
2019-04-13,4,2019-04-13,19.907692307692308,31.83846153846154,74.76923076923077,917.2538461538461,37.38461538461539,1.2307692307692308,41.46153846153846,196.30769230769232,166.53846153846155
2019-04-14,4,2019-04-14,22.314285714285713,28.0,62.0,916.7,171.57142857142858,1.0357142857142858,115.07142857142857,220.28571428571428,169.71428571428572
2019-04-15,4,2019-04-15,22.671428571428574,27.54285714285714,62.142857142857146,915.1642857142858,193.5,1.4714285714285715,333.5,427.85714285714283,155.0
2019-04-16,4,2019-04-16,18.861538461538462,29.661538461538463,79.07692307692308,915.0846153846155,80.3076923076923,2.0384615384615383,0.0,122.0,122.0
2019-04-17,4,2019-04-17,17.77857142857143,23.71428571428571,70.92857142857143,916.0214285714286,92.5,1.5857142857142859,0.0,37.214285714285715,37.214285714285715
2019-04-18,4,2019-04-18,19.514285714285712,22.400000000000002,62.357142857142854,918.5071428571428,227.92857142857142,1.3571428571428572,440.64285714285717,457.57142857142856,137.28571428571428
2019-04-19,4,2019-04-19,21.985714285714288,16.564285714285713,58.285714285714285,915.2285714285716,207.92857142857142,1.5642857142857143,554.4285714285714,512.7142857142857,114.0
2019-04-20,4,2019-04-20,23.421428571428574,21.485714285714284,58.714285714285715,912.9571428571428,197.28571428571428,1.5214285714285711,369.07142857142856,446.7142857142857,188.78571428571428
2019-04-21,4,2019-04-21,24.17142857142857,25.99285714285714,60.07142857142857,912.5785714285713,219.78571428571428,1.6142857142857143,527.7857142857143,502.42857142857144,119.64285714285714
2019-04-22,4,2019-04-22,25.242857142857137,26.22857142857143,58.92857142857143,913.5357142857141,275.2142857142857,1.8714285714285717,424.7142857142857,477.2142857142857,164.71428571428572
2019-04-23,4,2019-04-23,26.38571428571428,28.25714285714286,54.214285714285715,913.7071428571427,203.21428571428572,2.0,179.35714285714286,316.85714285714283,158.57142857142858
2019-04-24,4,2019-04-24,23.442857142857143,29.05,63.142857142857146,916.3500000000001,184.07142857142858,1.7285714285714284,9.928571428571429,110.78571428571429,105.78571428571429
2019-04-25,4,2019-04-25,22.09285714285715,27.57857142857143,64.57142857142857,916.9642857142857,143.78571428571428,2.2071428571428573,105.0,322.14285714285717,229.78571428571428
2019-04-26,4,2019-04-26,22.764285714285712,20.628571428571426,61.214285714285715,916.35,271.14285714285717,1.3928571428571428,344.7142857142857,461.0,191.71428571428572
2019-04-27,4,2019-04-27,25.178571428571434,20.000000000000004,48.5,915.842857142857,201.28571428571428,1.9428571428571428,175.71428571428572,375.2857142857143,220.28571428571428
